,Date,Price,Open,High,Low,Volume,Change(%)
0,28 Sep 2023,1523.70,1534.00,1537.60,1518.35,27677094,-0.21%
1,27 Sep 2023,1526.85,1523.00,1532.50,1515.00,19669269,-0.70%
2,26 Sep 2023,1537.65,1525.00,1540.00,1525.00,13787654,0.43%
3,25 Sep 2023,1531.00,1525.00,1540.70,1525.00,20104377,0.09%
4,22 Sep 2023,1529.65,1559.00,1564.40,1523.75,30852125,-1.53%
5,21 Sep 2023,1553.35,1553.00,1568.95,1537.05,36420721,-0.66%
6,20 Sep 2023,1563.70,1599.00,1599.00,1560.40,57737324,-4.01%
7,18 Sep 2023,1629.05,1653.75,1655.00,1626.10,18528144,-1.97%
8,15 Sep 2023,1661.75,1650.00,1670.00,1650.00,86705601,1.15%
9,14 Sep 2023,1642.90,1644.25,1650.00,1635.10,11769424,-0.06%
10,13 Sep 2023,1643.90,1631.30,1651.60,1628.60,23210047,0.43%
11,12 Sep 2023,1636.90,1640.00,1642.90,1625.05,19516670,0.31%
12,11 Sep 2023,1631.80,1628.90,1636.50,1624.00,15786511,0.52%
13,08 Sep 2023,1623.40,1608.30,1632.90,1607.60,17251105,0.78%
14,07 Sep 2023,1610.85,1595.50,1614.00,1587.15,17104171,0.96%
15,06 Sep 2023,1595.50,1576.80,1600.00,1574.90,28160455,1.31%
16,05 Sep 2023,1574.90,1588.40,1588.40,1570.60,19356041,-0.61%
17,04 Sep 2023,1584.55,1590.00,1591.45,1574.90,12536819,0.63%
18,01 Sep 2023,1574.70,1571.00,1579.00,1559.35,21613388,0.21%
19,31 Aug 2023,1571.45,1579.00,1583.15,1563.10,50037886,-0.46%
20,30 Aug 2023,1578.70,1603.95,1603.95,1573.70,14042102,-0.73%
21,29 Aug 2023,1590.30,1589.70,1592.65,1581.45,17769466,0.80%
22,28 Aug 2023,1577.75,1561.50,1582.65,1561.50,14433619,1.04%
23,25 Aug 2023,1561.50,1574.55,1577.50,1558.40,15034878,-1.13%
24,24 Aug 2023,1579.30,1593.30,1596.20,1576.15,21572896,-0.46%
25,23 Aug 2023,1586.60,1580.00,1590.55,1573.25,18249294,0.25%
26,22 Aug 2023,1582.70,1596.35,1598.00,1580.00,16136785,-0.43%
27,21 Aug 2023,1589.50,1600.50,1600.50,1587.00,10918635,-0.08%
28,18 Aug 2023,1590.75,1587.55,1596.30,1585.50,12816683,-0.41%
29,17 Aug 2023,1597.30,1597.60,1609.90,1594.00,26442020,-0.55%
30,16 Aug 2023,1606.20,1583.10,1609.65,1581.30,17068771,-0.29%
31,14 Aug 2023,1610.90,1611.00,1615.00,1600.25,15652205,-0.49%
32,11 Aug 2023,1618.80,1638.40,1638.40,1616.20,14112911,-1.04%
33,10 Aug 2023,1635.85,1647.05,1654.25,1631.00,25390559,-0.89%
34,09 Aug 2023,1650.50,1653.00,1654.50,1631.10,16680618,0.04%
35,08 Aug 2023,1649.90,1651.70,1655.60,1642.05,21886914,-0.08%
36,07 Aug 2023,1651.25,1663.10,1663.10,1647.55,14150459,-0.06%
37,04 Aug 2023,1652.20,1635.15,1656.50,1629.25,18694152,1.45%
38,03 Aug 2023,1628.65,1640.00,1651.35,1623.00,28836973,-0.72%
39,02 Aug 2023,1640.50,1642.00,1651.50,1633.15,14058161,-1.31%
40,01 Aug 2023,1662.25,1654.45,1667.45,1650.00,17697094,0.67%
41,31 Jul 2023,1651.20,1650.05,1656.80,1638.70,17282503,0.47%
42,28 Jul 2023,1643.50,1661.50,1668.90,1641.10,20507842,-1.77%
43,27 Jul 2023,1673.15,1699.90,1703.00,1667.45,29870651,-1.04%
44,26 Jul 2023,1690.70,1699.60,1699.60,1688.00,12397179,-0.35%
45,25 Jul 2023,1696.60,1684.65,1699.00,1678.40,27996298,1.08%
46,24 Jul 2023,1678.40,1678.50,1684.65,1670.10,16089722,0.16%
47,21 Jul 2023,1675.75,1680.00,1689.80,1673.25,21077124,-0.77%
48,20 Jul 2023,1688.75,1681.15,1692.00,1680.00,28105474,0.22%
49,19 Jul 2023,1685.10,1681.10,1688.75,1675.00,16467567,0.45%
50,18 Jul 2023,1677.50,1698.00,1704.00,1670.00,40538409,-0.08%
51,17 Jul 2023,1678.90,1650.00,1682.00,1633.00,24626464,2.09%
52,14 Jul 2023,1644.50,1653.60,1653.60,1635.00,12363607,0.21%
53,13 Jul 2023,1641.10,1656.70,1657.45,1638.05,20956773,0.50%
54,12 Jul 2023,1632.95,1655.35,1666.30,1627.15,35479179,-0.94%
55,11 Jul 2023,1648.40,1663.00,1676.00,1645.50,25335213,-0.49%
56,10 Jul 2023,1656.45,1661.00,1676.75,1649.70,19199221,-0.24%
57,07 Jul 2023,1660.40,1665.00,1675.00,1656.30,9963168,-0.87%
58,06 Jul 2023,1675.00,1673.00,1687.85,1660.40,26078272,0.10%
59,05 Jul 2023,1673.30,1716.25,1720.00,1668.55,18582877,-3.18%
60,04 Jul 2023,1728.20,1723.45,1747.00,1713.80,19397594,0.49%
61,03 Jul 2023,1719.80,1712.50,1757.50,1710.00,22052058,1.08%
62,30 Jun 2023,1701.40,1704.00,1708.80,1683.25,20349508,1.51%
63,28 Jun 2023,1676.15,1670.00,1679.90,1660.50,29781475,1.06%
64,27 Jun 2023,1658.60,1642.95,1672.90,1638.55,16915932,1.41%
65,26 Jun 2023,1635.55,1645.00,1650.75,1628.70,8065157,-0.48%
66,23 Jun 2023,1643.50,1637.55,1659.90,1634.05,10669609,-0.01%
67,22 Jun 2023,1643.60,1640.00,1657.55,1639.05,28298070,0.49%
68,21 Jun 2023,1635.60,1616.00,1637.25,1611.00,12154473,1.75%
69,20 Jun 2023,1607.50,1604.15,1611.00,1590.65,10002813,0.21%
70,19 Jun 2023,1604.15,1611.00,1614.25,1598.35,12414573,0.09%
71,16 Jun 2023,1602.75,1587.15,1609.20,1584.00,7889636,1.31%
72,15 Jun 2023,1582.05,1604.00,1605.95,1579.00,17688738,-1.23%
73,14 Jun 2023,1601.75,1610.45,1612.00,1600.20,10056984,-0.11%
74,13 Jun 2023,1603.50,1590.10,1609.00,1590.10,13963054,0.17%
75,12 Jun 2023,1600.80,1612.55,1615.80,1599.45,6704146,-0.61%
76,09 Jun 2023,1610.60,1615.90,1618.50,1607.00,9106289,0.12%
77,08 Jun 2023,1608.70,1603.25,1626.00,1603.25,18697761,0.06%
78,07 Jun 2023,1607.70,1603.45,1612.55,1596.00,12474513,0.52%
79,06 Jun 2023,1599.40,1607.65,1609.85,1592.25,16091426,-0.31%
80,05 Jun 2023,1604.40,1614.50,1616.50,1602.45,9348621,-0.13%
81,02 Jun 2023,1606.50,1612.45,1614.80,1601.00,8929855,0.16%
82,01 Jun 2023,1604.00,1619.90,1619.90,1600.00,25183469,-0.43%
83,31 May 2023,1610.85,1629.90,1634.95,1604.65,21667135,-1.58%
84,30 May 2023,1636.75,1633.60,1642.65,1628.55,18562964,0.08%
85,29 May 2023,1635.50,1628.50,1641.00,1624.85,10908146,1.22%
86,26 May 2023,1615.80,1619.00,1619.00,1602.25,13317533,0.39%
87,25 May 2023,1609.60,1615.70,1620.05,1597.35,14888465,-0.38%
88,24 May 2023,1615.80,1627.55,1634.75,1613.60,16794056,-1.31%
89,23 May 2023,1637.20,1649.00,1649.60,1633.45,11235037,-0.23%
90,22 May 2023,1641.05,1645.00,1652.90,1632.70,14167016,-0.36%
91,19 May 2023,1646.90,1648.00,1650.00,1631.55,15230166,0.12%
92,18 May 2023,1645.00,1648.00,1653.95,1640.00,24823471,0.40%
93,17 May 2023,1638.45,1650.00,1650.00,1625.35,15233434,-0.54%
94,16 May 2023,1647.30,1671.80,1671.80,1644.00,16361043,-1.70%
95,15 May 2023,1675.80,1672.00,1680.75,1665.10,9256130,0.48%
96,12 May 2023,1667.80,1647.00,1672.80,1644.25,11239380,0.88%
97,11 May 2023,1653.20,1665.15,1688.00,1649.25,17867309,0.07%
98,10 May 2023,1652.10,1644.50,1654.65,1633.10,23170275,0.46%
99,09 May 2023,1644.50,1649.90,1656.00,1639.95,21844469,0.00%
100,08 May 2023,1644.45,1635.00,1650.35,1630.00,18622262,1.16%
101,05 May 2023,1625.65,1639.00,1660.95,1622.10,31385208,-5.91%
102,04 May 2023,1727.80,1687.10,1734.45,1687.10,28427319,2.05%
103,03 May 2023,1693.15,1684.95,1696.00,1679.65,14703635,0.35%
104,02 May 2023,1687.25,1688.70,1699.00,1682.00,16110592,-0.02%
105,28 Apr 2023,1687.60,1684.70,1691.00,1670.00,13958136,0.39%
106,27 Apr 2023,1681.00,1670.50,1685.25,1665.85,23895196,0.55%
107,26 Apr 2023,1671.80,1660.00,1675.00,1655.00,13696375,0.46%
108,25 Apr 2023,1664.15,1687.70,1687.70,1661.90,25176534,-1.42%
109,24 Apr 2023,1688.15,1687.00,1691.45,1674.10,17837926,0.81%
110,21 Apr 2023,1674.60,1669.00,1676.95,1663.25,10064309,0.16%
111,20 Apr 2023,1671.90,1671.70,1677.45,1666.40,16461358,0.37%
